Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2022/07/03 12:24:33.5872,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.98,8.65,70.5,9.07,2022/07/03,12:24:32,0,0,-17,0,
2022/07/03 12:24:34.6436,1.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.09,17.91,54.5,17.72,2015/10/18,00:00:36,0,0,-17,0,
2022/07/03 12:24:34.6729,1.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010.77,17.91,56.3,18.13,2015/10/18,00:00:37,0,0,-17,0,
2022/07/03 12:24:34.6979,1.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010.95,18.12,56.3,18.14,2015/10/18,00:00:38,0,0,-17,0,
2022/07/03 12:24:34.7244,1.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010.99,18.18,56.3,18.15,2015/10/18,00:00:39,0,0,-17,0,
2022/07/03 12:24:34.7502,1.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.04,18.13,56.2,18.15,2015/10/18,00:00:40,0,0,-17,0,
2022/07/03 12:24:34.7763,1.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.04,18.13,56.2,18.15,2015/10/18,00:00:41,0,0,-17,0,
2022/07/03 12:24:34.8026,1.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.07,18.15,56.1,18.17,2015/10/18,00:00:42,0,0,-17,0,
2022/07/03 12:24:34.8280,1.241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.03,18.17,54.9,18.18,2015/10/18,00:00:01,0,0,-17,0,
2022/07/03 12:24:34.8546,1.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.07,18.18,55.1,18.22,2015/10/18,00:00:02,0,0,-17,0,
2022/07/03 12:24:34.8807,1.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.14,18.16,55,18.25,2015/10/18,00:00:03,0,0,-17,0,
2022/07/03 12:24:34.9064,1.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.1,18.19,54.8,18.28,2015/10/18,00:00:04,0,0,-17,0,
2022/07/03 12:24:34.9327,1.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.07,18.16,54.5,18.3,2015/10/18,00:00:05,0,0,-17,0,
2022/07/03 12:24:34.9584,1.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.04,18.2,53.9,18.33,2015/10/18,00:00:06,0,0,-17,0,
2022/07/03 12:24:34.9850,1.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.09,18.18,53.9,18.36,2015/10/18,00:00:07,0,0,-17,0,
2022/07/03 12:24:35.0107,1.423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.07,18.2,53.8,18.39,2015/10/18,00:00:08,0,0,-17,0,
2022/07/03 12:24:35.0363,1.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.09,18.27,53.8,18.41,2015/10/18,00:00:09,0,0,-17,0,
2022/07/03 12:24:35.0627,1.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.04,12.44,51.6,13.88,2015/10/18,00:00:01,0,0,-17,0,
2022/07/03 12:24:35.0893,1.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011.03,11.86,54.8,13.16,2015/10/18,00:00:01,0,0,-17,0,
